Rank,Washing Machine Name,Rating,Price,Product Link,Start Time,End Time
46,MiNi WaShInG MaChInE TuRbInE WaShInG MaChInE WaShInG MaChInE DoOr HiNgE UlTrAsOnIc LiGhTwEiGhT TuRbO WaShEr WiTh UsB CaBlE -,5.0 out of 5 stars,₹399.00,https://www.amazon.in/WaShInG-MaChInE-TuRbInE-UlTrAsOnIc-LiGhTwEiGhT/dp/B0FH1NLDWV/ref=zg_bs_g_1380373031_d_sccl_46/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
47,"Voltas Beko, A Tata Product 10 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL1006UEAH/OBS3060, Dark Grey, Inbuilt",4.2 out of 5 stars,"₹19,990.00",https://www.amazon.in/Voltas-Beko-Fully-Automatic-WTL1006UEAH-OBS3060/dp/B0DDTV7RKJ/ref=zg_bs_g_1380373031_d_sccl_47/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
48,"Acer 10.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine(AR10SAMBGL124D, Black-Grey, 4 Wash Programs, Hexa Flow Pulsato",4.2 out of 5 stars,"₹11,999.00",https://www.amazon.in/Semi-Automatic-AR10SAMBGL124D-Black-Grey-Programs-Pulsator/dp/B0DK5S3PRZ/ref=zg_bs_g_1380373031_d_sccl_48/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
49,"Voltas Beko, A Tata Product 10 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL1006UEA/OBS1060, Grey, Double Waterf",4.6 out of 5 stars,"₹18,990.00",https://www.amazon.in/Voltas-Beko-Fully-Automatic-WTL1006UEA-OBS1060/dp/B0DDTVPH7V/ref=zg_bs_g_1380373031_d_sccl_49/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
50,"Panasonic 6.5 Kg 5 Star Fully-Automatic Top Load Washing Machine (2025 Model, NA-F65LF4CRB, Charcoal Inox Grey, 12 Wash Progr",4.2 out of 5 stars,"₹13,790.00",https://www.amazon.in/Panasonic-Fully-Automatic-NA-F65LF4CRB-Technology-Antibacterial/dp/B0DSZQ7MCL/ref=zg_bs_g_1380373031_d_sccl_50/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
51,"Haier 9 Kg 5 Star Powered by AI-DBT with Direct Drive Technology, PuriSteam, 525mm Super Drum Fully Automatic Front Load Wash",4.1 out of 5 stars,"₹34,800.00",https://www.amazon.in/Haier-Technology-Fully-Automatic-EFL90-DM14IBIEBK-PuriSteam/dp/B0D45WX1HR/ref=zg_bs_g_1380373031_d_sccl_1/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
52,"Panasonic 7 kg 5 Star Inverter Fully Automatic Front Loading Washing Machine with Built-In Heater (NA-147MH2L01, Dark Silver,",4.3 out of 5 stars,"₹26,490.00",https://www.amazon.in/Panasonic-Inverter-Automatic-Loading-NA-147MH2L01/dp/B0D5DDGTDN/ref=zg_bs_g_1380373031_d_sccl_2/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
53,"IFB 7.5 Kg 5 Star with DeepClean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL751MS2S, PowerSteam®, I",3.8 out of 5 stars,"₹22,272.00",https://www.amazon.in/IFB-DeepClean%C2%AE-Technology-TL751MS2S-PowerSteam%C2%AE/dp/B0DSLLJKPB/ref=zg_bs_g_1380373031_d_sccl_3/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
54,"IFB 9 Kg 5 Star with DeepClean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL900NB2S, PowerSteam®, Inb",3.7 out of 5 stars,"₹25,360.00",https://www.amazon.in/IFB-DeepClean%C2%AE-Technology-TL900NB2S-PowerSteam%C2%AE/dp/B0DSLKCQ7Q/ref=zg_bs_g_1380373031_d_sccl_4/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
55,"Lukzer Mini Foldable Washing Machine | Portable, Compact & Lightweight Laundry Machine for Travel, Dorms & Small Spaces | Ide",N/A,"₹1,299.00",https://www.amazon.in/Lukzer-Portable-Foldable-Collapsible-28x28x27-5cm/dp/B0CM9KQY3D/ref=zg_bs_g_1380373031_d_sccl_5/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
56,"Haier 7 Kg 5 Star Powered by AI-DBT with PuriSteam, 525mm Super Drum Fully Automatic Front Load Washing Machine (HW70-IM12929",4.2 out of 5 stars,"₹28,990.00",https://www.amazon.in/Haier-Frontload-Refresh-rating-HM70-IM12929BK/dp/B0CV4C5NJQ/ref=zg_bs_g_1380373031_d_sccl_6/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
57,"Voltas Beko, A Tata Product 11 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL1106UEA / OBS1060, Grey, Double Wate",3.9 out of 5 stars,"₹19,999.00",https://www.amazon.in/Voltas-Beko-Fully-Automatic-WTL1106UEA-OBS1060/dp/B0DCVZWYJV/ref=zg_bs_g_1380373031_d_sccl_7/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
58,Godrej 6.5 Kg 5 Star I-Wash Technology for Automatic One Touch Wash Fully-Automatic Top Load Washing Machine (WTEON 650 AP 5.,4.1 out of 5 stars,"₹11,990.00",https://www.amazon.in/Godrej-Fully-Automatic-WTEON-650-GPGR/dp/B0BVRDB47D/ref=zg_bs_g_1380373031_d_sccl_8/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
59,"IFB 11 Kg 5 Star with DeepClean® Technology, AI Powered, WiFi, Fully Automatic Front Load Washing Machine (EXECUTIVE PLUS BXN",4.5 out of 5 stars,"₹48,990.00",https://www.amazon.in/IFB-EXECUTIVE-PLUS-BXN-1114KH/dp/B0FF36NSM4/ref=zg_bs_g_1380373031_d_sccl_9/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
60,DEXURIES Heavy Duty Top Load Washing Machine Roller | Belan | Pulsator Rolller for Samsung TOP Load Washing Machine Part Repl,4.2 out of 5 stars,₹179.00,https://www.amazon.in/DEXURIES-Washing-Machine-Pulsator-Replacement/dp/B0C3ZKTW6D/ref=zg_bs_g_1380373031_d_sccl_10/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
61,"Voltas Beko, A Tata Product 8 Kg 5 Star Inverter Quick wash Fully-Automatic Front Loading Washing Machine (WFL8012B7JVBKA/AXV",5.0 out of 5 stars,"₹25,990.00",https://www.amazon.in/Voltas-Beko-Fully-Automatic-WFL8012B7JVBKA-AXV/dp/B0FDH7M1QS/ref=zg_bs_g_1380373031_d_sccl_11/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
62,"Haier 7 kg 5 Star Ultra air fresh Fully Automatic Top Load, (HWM70-306S8,Dark Jade Silver)",4.2 out of 5 stars,"₹14,990.00",https://www.amazon.in/Haier-Technology-Toughened-Automatic-HWM70-306S8/dp/B0D49QMJNY/ref=zg_bs_g_1380373031_d_sccl_12/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
63,AMAZOR Roller Compatible for Samsung Washing Machine Pulsator/Washing Machine Pulsator Roller (2 pcs Set) (Roller Size 7.9 cm,4.2 out of 5 stars,₹145.00,https://www.amazon.in/Roller-Compatible-Samsung-Washing-Pulsator/dp/B0BYF8Q2L7/ref=zg_bs_g_1380373031_d_sccl_13/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
64,Semi Automatic Folding 2kg Top Loading Mini Washing Machine with Dryer Deep Cleaning for Underwear Washing Machine Clothes Wa,1.5 out of 5 stars,"₹1,299.00",https://www.amazon.in/Automatic-Folding-Loading-Cleaning-Underwear/dp/B0FFN34RKL/ref=zg_bs_g_1380373031_d_sccl_14/259-2893573-4903325?psc=1,2025-08-05 21:09:08,2025-08-05 21:09:08
